issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_lvl_1,category_lvl_2
2018-04-19,https://almuftionline.com/2018/04/19/1939/,” اگر میں فلاں عورت سے بات کروں تو تجھے تین طلاق“کہنے کی صورت میں بغیر پہچانے اس عورت سےفون پر سلام کرنے سے طلاق کا حکم,,"<h4 class=""has-text-align-center"">اَلجَوَابْ بِاسْمِ مُلْہِمِ الصَّوَابْ

</h4>",1939,jameya-tur-rasheed,طلاق کے احکام,طلاق کو  کسی شرط پر معلق کرنے کا بیان
2018-04-18,https://almuftionline.com/2018/04/18/1771/,مرنے سے پہلے اپنے لیے قبر بنانا,,"<h4 class=""has-text-align-center"">اَلجَوَابْ بِاسْمِ مُلْہِمِ الصَّوَابْ

</h4>",1771,jameya-tur-rasheed,جنازے کےمسائل,مردوں اور قبر کے حالات کا بیان
2018-04-18,https://almuftionline.com/2018/04/18/1751/,ظہر کی قبلیہ سنتیں درمیان میں چھوڑنے پر قضاء,,"<h4 class=""has-text-align-center"">اَلجَوَابْ بِاسْمِ مُلْہِمِ الصَّوَابْ

</h4>",1751,jameya-tur-rasheed,نماز کا بیان,سنتوں او رنوافل کا بیان
2018-04-18,https://almuftionline.com/2018/04/18/1732/,خالی گھر میں داخل ہوتے وقت سلام کہنا,,"<h4 class=""has-text-align-center"">اَلجَوَابْ بِاسْمِ مُلْہِمِ الصَّوَابْ

</h4>",1732,jameya-tur-rasheed,جائز و ناجائزامور کا بیان,سلام اورچھینک کا جواب دینے کے آداب
2018-04-18,https://almuftionline.com/2018/04/18/1719/,تعداد رکعات کی نیت میں خطا کا اعتبار نہیں,,"<h4 class=""has-text-align-center"">اَلجَوَابْ بِاسْمِ مُلْہِمِ الصَّوَابْ

</h4>",1719,jameya-tur-rasheed,نماز کا بیان,مسافر کی نماز کابیان
2018-04-16,https://almuftionline.com/2018/04/16/1905/,جمعہ مبارک کہنے کا حکم,,"<h4 class=""has-text-align-center"">اَلجَوَابْ بِاسْمِ مُلْہِمِ الصَّوَابْ

</h4>",1905,jameya-tur-rasheed,جائز و ناجائزامور کا بیان,جائز و ناجائز کے متفرق مسائل
2018-04-16,https://almuftionline.com/2018/04/16/1904/,پرانے کتبہ کی تجدیداور اس پرلکھےہوئے نام میں اضافہ,,"<h4 class=""has-text-align-center"">اَلجَوَابْ بِاسْمِ مُلْہِمِ الصَّوَابْ

</h4>",1904,jameya-tur-rasheed,وقف کے مسائل,قبرستان کے مسائل
2018-04-16,https://almuftionline.com/2018/04/16/1903/,زندہ کیچوے سے مچھلی پکڑنا,,"<h4 class=""has-text-align-center"">اَلجَوَابْ بِاسْمِ مُلْہِمِ الصَّوَابْ

</h4>",1903,jameya-tur-rasheed,ذبح  اور ذبیحہ کے احکام,شکار سے متعلق  مسائل
2018-04-16,https://almuftionline.com/2018/04/16/1902/,اجنبی عورت سے بات کرنا,,"<h4 class=""has-text-align-center"">اَلجَوَابْ بِاسْمِ مُلْہِمِ الصَّوَابْ

</h4>",1902,jameya-tur-rasheed,جائز و ناجائزامور کا بیان,عورت کو دیکھنے ، چھونے اورجماع کرنے کے احکام
2018-04-16,https://almuftionline.com/2018/04/16/1901/,غیر مسلم رشتہ دار کو شادی میں بلانا,,"<h4 class=""has-text-align-center"">اَلجَوَابْ بِاسْمِ مُلْہِمِ الصَّوَابْ

</h4>",1901,jameya-tur-rasheed,جائز و ناجائزامور کا بیان,کفار کے ساتھ معاملات کا بیان
