issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_lvl_1,category_lvl_2
2022-12-12,https://almuftionline.com/2022/12/12/9028/,ایک مسبوق کا دوسرے مسبوق کو دیکھ کر نماز مکمل کرنا,<p>ایک شخص سے نماز کی ایک رکعت رہ گئی تھی ،لیکن وہ بھول گیاکہ کتنی رکعات رہ گئی ہیں ؟ چنانچہ اس نے ساتھ والے شخص  کو دیکھ کر (جو اس کے ساتھ ہی جماعت میں شامل ہواتھا اپنی نماز مکمل کی )،تو اس کی  نماز کاکیا حکم ہے ؟</p>,"<h4 class=""has-text-align-center"">اَلجَوَابْ بِاسْمِ مُلْہِمِ الصَّوَابْ</h4><p>مسبوق شخص کے لیے بہتر تو یہی ہے کہ وہ اپنی بقیہ رکعتوں کی تعداد خود یاد رکھنے کی کوشش کرے ،لیکن اگر وہ بھول جائے، اور اپنے ساتھ والے نمازی( جس نے اس کے ساتھ نماز شروع کی تھی )  کو دیکھ کر نماز مکمل کرلے تو اس کی نماز درست ہو جائے گی۔</p><h6 class=""has-text-align-right"">حوالہ جات</h6><h5><h5>ولو نسي أحد المسبوقين المتساويين كمية ما عليه فقضى ملاحظا للآخر بلا اقتداء به صح. هكذا في الخلاصة.</h5>
<h5>( الفتاوی الھندیۃ : 1/92 )</h5>
<h5>إذا قضی المسبوقان ملاحظا أحدھما الآخر لیعلم عدد ما علیه من فعله فلا بأس به.</h5>
<h5>(حاشیۃ الطحطحاوی علی مراقی الفلاح )</h5>
<h5>(قوله نعم لو نسي إلخ) حاصله أنه لو اقتدى اثنان معا بإمام قد صلى بعض صلاته فلما قاما إلى القضاء نسي أحدهما عدد ما سبق به فقضى ملاحظا للآخر بلا اقتداء به صح كما في الخانية والفتح، خلافا لظاهر القنية، ولما مشى عليه في الوهبانية من الفساد وجزم به في جامع الفتاوى، ووفق ابن الشحنة بحمل الثاني على الاقتداء أو بكونه قولا شاذا لا يعمل به فافهم. ( ردالمحتار : 1/597 )</h5>
</h5><p>محمدادریس</p><p>دارالافتاء،جامعۃ الرشید، کرچی</p><p><span dir=""LTR"">/17</span>جماد ی الاولی /1444ھ</p><h6 class=""has-text-align-center"">واللہ سبحانہ وتعالی اعلم</h6><figure class=""wp-block-table""><table><tbody><tr><td><h3>مجیب</h3></td><td>محمد ادریس بن محمدغیاث</td><td><h3>مفتیان</h3></td><td> فیصل احمد صاحب / شہبازعلی صاحب</td></tr></tbody></table></figure>",9028,jameya-tur-rasheed,نماز کا بیان,مسبوق اور لاحق کے احکام
2022-12-12,https://almuftionline.com/2022/12/12/8697/,مسلمان کاکسی غیر مسلم  سے تعزیت کرنا,<p> کیاکسی  غیر مسلم کی تعزیت کے لیے  مسلمان جا سکتا  ہے ؟ </p>,"<h4 class=""has-text-align-center"">اَلجَوَابْ بِاسْمِ مُلْہِمِ الصَّوَابْ</h4><p>اگرکسی غیر مسلم  کاانتقال ہو  جائے تواس  کے گھرتعزیت  کے لیے جانا    جائز ہے ۔بہتر ہے کہ تعزیت کے الفاظ یہ    ہوں<span dir=""LTR"">:</span> ""أخلف اللہ علیک خیرامنہ  وأصلحک ، أی أصلحک بالإسلام ورزقک ولدا مسلما ""(اللہ تعالی تمہیں اس سے بہتر عطا  کرے  اور تمہاری اصلاح کرے  یعنی اسلام کے ذریعے   تمہاری اصلاح کرےاور تمہیں ایک مسلمان بیٹا عطا کرے )۔ البتہ اس کے علاوہ بھی الفاظ استعمال  کر سکتے ہیں  لیکن ان میں مردہ کے لیے مغفرت کی دعا نہ ہو۔ یاد رہے کہ ان کی مذہبی رسومات میں شریک ہونا جائز نہیں  ہے۔</p><h6 class=""has-text-align-right"">حوالہ جات</h6><h5><h5>قال اللہ تبارک وتعالی : ماکان للنبی و الذین آمنو ا أن یستغفروا للمشرکین ولو کانوا أولی قربی من بعد ما تبین لھم أنھم أصحاب الجحیم<span dir=""LTR"">.</span> ( سورۃ التوبۃ :آیۃ: 113)</h5>
<h5>وفی الفتاوی الھندیۃ :وإذا مات الکافر،  قال لولدہ أو قریبہ  فی تعزیتہ : أخلف اللہ علیک خیرامنہ  وأصلحک ، أی أصلحک بالإسلام  ورزقک ولدا مسلما ؛ لأن الخیریۃ بہ تظھر<span dir=""LTR"">.</span></h5>
<h5> (الفتاوی الھندیۃ : 5/128)</h5>
<h5>قال العلامۃ ابن عابدین رحمہ اللہ تعالی : جار يهودي أو مجوسي مات ابن له أو قريب ينبغي أن يعزيه، ويقول أخلف الله عليك خيرا منه وأصلحك ،وكان معناه: أصلحك الله بالإسلام، يعني رزقك الإسلام ورزقك ولدا مسلما <span dir=""LTR"">.</span>(رد المحتار:9/557)</h5>
</h5><p>محمد مدثر</p><p>دارالافتاء  ، جامعۃ الرشید  ، کراچی</p><p>17/جمادی الاولی <span dir=""LTR"">/</span>1444ھ</p><h6 class=""has-text-align-center"">واللہ سبحانہ وتعالی اعلم</h6><figure class=""wp-block-table""><table><tbody><tr><td><h3>مجیب</h3></td><td>محمد مدثر بن محمد ظفر</td><td><h3>مفتیان</h3></td><td> فیصل احمد صاحب / شہبازعلی صاحب</td></tr></tbody></table></figure>",8697,jameya-tur-rasheed,جائز و ناجائزامور کا بیان,کفار کے ساتھ معاملات کا بیان
2022-12-12,https://almuftionline.com/2022/12/12/8701/,صرف نیت کرنے سے وجوب صدقہ نہیں ہوتا,"<p>میں نے یہ نیت کی تھی کہ اپنی تنخواہ میں سے ہر ماہ ایک مخصوص رقم صدقہ کرتا رہوں گا اور الحمدللہ اس پر کاربند بھی ہوں   ، لیکن دو تین مہینوں سے اخراجات کے اضافے کی وجہ سے صدقہ کی رقم نہیں نکال  پا رہا ہوں ۔ کیا مجھ پر ان مہینوں کی رقم نکالنا واجب ہے ؟<br/>
 </p>","<h4 class=""has-text-align-center"">اَلجَوَابْ بِاسْمِ مُلْہِمِ الصَّوَابْ</h4><p>گزشتہ مہینوں کی رقم صدقہ کرنا  آپ پر واجب تو  نہیں  البتہ کرنا چاہیں تو  بہت اچھی بات ہے ،  اس لیے کہ صرف  نیت کرنے سے صدقہ یا  نذر  واجب  نہیں ہوتی  ، صدقہ کرنا  اس وقت واجب ہوتا ہے  جب آپ باقاعدہ زبان سے تلفظ کریں،جو کہ صورت مسئولہ میں نہیں پایا جا رہا۔</p><h6 class=""has-text-align-right"">حوالہ جات</h6><h5><h5>قال العلامۃ الکاسانی رحمہ اللہ تعالی : أماالأول : فرکن النذر  :ھو الصیغۃ الدالۃ علیہ ، وھو قولہ : للہ علی کذا، أو علی کذا،أ و ھذاھدی  <span dir=""LTR"">….</span><span dir=""LTR"">.</span></h5>
<h5>(بدائع الصنائع : 5/333)</h5>
<h5>قال العلامۃابن عابدین رحمہ اللہ تعالی :قال فی الشرح الملتقی: والنذر عمل اللسان  ، وشرط صحتہ أن لایکون معصیۃ کشرب الخمر ، ولا واجبا علیہ فی الحال<span dir=""LTR"">.</span> (رد المحتار:3/419)</h5>
<h5>قال العلامۃا لحصکفی رحمہ اللہ تعالی:(وھو  واجب بالنذر  )بلسانہ   <span dir=""LTR"">.</span></h5>
<h5>قال ابن عابدین رحمہ اللہ : قولہ 🙁 بلسانہ)فلا یکفیلإ یجابہ النیۃ<span dir=""LTR"">.</span>منح عن شمس الأئمۃ <span dir=""LTR"">.</span></h5>
<h5>(رد المحتار مع الدر المختار:3/430)</h5>
<h5>قال ابن الھمام رحمہ اللہ تعالی :قولہ ( ومن أوجب علی نفسہ إعتکا ف أیام ) بأن قال بلسانہ : عشرۃ أیام  مثلا <span dir=""LTR"">….</span>ولا یکفی مجرد نیۃ القلب<span dir=""LTR"">.</span></h5>
<h5>(فتح القدیر : 2/410)</h5>
</h5><p>  محمد مدثر</p><p>  دارالافتاء  ، جامعۃ الرشید  ، کراچی</p><p>17/جمادی الاولی <span dir=""LTR"">/</span>1444ھ</p><h6 class=""has-text-align-center"">واللہ سبحانہ وتعالی اعلم</h6><figure class=""wp-block-table""><table><tbody><tr><td><h3>مجیب</h3></td><td>محمد مدثر بن محمد ظفر</td><td><h3>مفتیان</h3></td><td> فیصل احمد صاحب / شہبازعلی صاحب</td></tr></tbody></table></figure>",8701,jameya-tur-rasheed,قسم منت اور نذر کے احکام,متفرّق مسائل
