link,title,question_html,answer_html,issued_at,fatwa_number,dar_ul_ifta,category_lvl_1,category_lvl_2,category_lvl_3,html_container
https://www.banuri.edu.pk/readquestion/داڑھی-کی-سیٹنگ-کرانے-والے-حافظ-کا-تراویح-کی-امامت-2/08-05-2018,داڑھی کی سیٹنگ کرانے والے حافظ کا تراویح کی امامت,<p><p> اگر کوئی حافظ داڑھی کی سیٹنگ کراتا ہو تو  وہ رمضان میں تراویح پڑھا سکتا ہے؟</p></p>,"<p><p>حافظ صاحب اگر سیٹنگ کراتے ہوئے داڑھی ایک مشت سے کم کرادیتے ہیں توایک مشت سے کم داڑھی رکھنا موجبِ فسق ہے؛ لہٰذا جب تک توبہ کرنے کے بعد مذکورہ حافظ ایک مشت داڑھی پوری نہ کرلے اس کی امامت مکروہ تحریمی رہے گی۔ اور اگر ایک مشت سے کم نہیں کرتا یا داڑھی کے علاوہ چہرے یا حلق کے بالوں کی سیٹنگ کرتاہے تو  اس کی امامت جائزہوگی۔ فقط واللہ ا علم</p></p><hr class=""big-hr""/>",08-05-2018,143908200661,banuri.edu.pk,نماز,تراویح,تراویح,"<div class=""col-md-12 sawal-jawab""><h3 class=""question_heading"">سوال</h3><p><p> اگر کوئی حافظ داڑھی کی سیٹنگ کراتا ہو تو  وہ رمضان میں تراویح پڑھا سکتا ہے؟</p></p><h4 class=""question_heading"">جواب</h4><p><p>حافظ صاحب اگر سیٹنگ کراتے ہوئے داڑھی ایک مشت سے کم کرادیتے ہیں توایک مشت سے کم داڑھی رکھنا موجبِ فسق ہے؛ لہٰذا جب تک توبہ کرنے کے بعد مذکورہ حافظ ایک مشت داڑھی پوری نہ کرلے اس کی امامت مکروہ تحریمی رہے گی۔ اور اگر ایک مشت سے کم نہیں کرتا یا داڑھی کے علاوہ چہرے یا حلق کے بالوں کی سیٹنگ کرتاہے تو  اس کی امامت جائزہوگی۔ فقط واللہ ا علم</p></p><hr class=""big-hr""/><div class=""col-sm-6 col-md-6""><p class=""question_heading"" style=""color:#73161f"">فتویٰ نمبر : <a id=""fatwa_number"">143908200661</a></p></div><div class=""col-sm-6 col-md-6""><p style=""color:#73161f"">دارالافتاء :
                                جامعہ علوم اسلامیہ علامہ محمد یوسف بنوری ٹاؤن</p></div><hr class=""big-hr""/><div class=""col-sm-4 col-md-4""><div class=""tag""><a href=""https://www.banuri.edu.pk/questions/kitab/salat""><i class=""icon-docs-bold""></i> نماز</a></div></div><div class=""col-sm-4 col-md-4""><div class=""tag""><a href=""https://www.banuri.edu.pk/questions/bab/taraweeh""><i class=""icon-docs-bold""></i> تراویح</a></div></div><div class=""col-sm-4 col-md-4""><div class=""tag""><a href=""https://www.banuri.edu.pk/questions/fasal/taraweeh""><i class=""icon-docs-bold""></i> تراویح</a></div></div></div>"
https://www.banuri.edu.pk/readquestion/زکاۃ-کتنی-مالیت-پر-لازم-ہوتی-ہے/13-05-2018,زکاۃ کتنی مالیت پر لازم ہوتی ہے؟,"<p><p><span class=""ar_writing"">تجب الزكاة على كم مبلغ من المال النقد؟</span></p></p>","<p><p style=""margin-left:0;margin-right:0;text-align:right;""><span class=""ar_writing"">إنما تجب الزکاة في المال النقد إذا بلغ ما یساوی قیمة 35 ۔ 612 غرام من الفضة ۔ فقط والله أعلم</span></p></p><hr class=""big-hr""/>",13-05-2018,143908200898,banuri.edu.pk,زکات,زکوٰۃ / صدقات,وجوب زکوٰۃ کی تفصیل,"<div class=""col-md-12 sawal-jawab""><h3 class=""question_heading"">سوال</h3><p><p><span class=""ar_writing"">تجب الزكاة على كم مبلغ من المال النقد؟</span></p></p><h4 class=""question_heading"">جواب</h4><p><p style=""margin-left:0;margin-right:0;text-align:right;""><span class=""ar_writing"">إنما تجب الزکاة في المال النقد إذا بلغ ما یساوی قیمة 35 ۔ 612 غرام من الفضة ۔ فقط والله أعلم</span></p></p><hr class=""big-hr""/><div class=""col-sm-6 col-md-6""><p class=""question_heading"" style=""color:#73161f"">فتویٰ نمبر : <a id=""fatwa_number"">143908200898</a></p></div><div class=""col-sm-6 col-md-6""><p style=""color:#73161f"">دارالافتاء :
                                جامعہ علوم اسلامیہ علامہ محمد یوسف بنوری ٹاؤن</p></div><hr class=""big-hr""/><div class=""col-sm-4 col-md-4""><div class=""tag""><a href=""https://www.banuri.edu.pk/questions/kitab/zakat""><i class=""icon-docs-bold""></i> زکات</a></div></div><div class=""col-sm-4 col-md-4""><div class=""tag""><a href=""https://www.banuri.edu.pk/questions/bab/zakat-sadaqat""><i class=""icon-docs-bold""></i> زکوٰۃ / صدقات</a></div></div><div class=""col-sm-4 col-md-4""><div class=""tag""><a href=""https://www.banuri.edu.pk/questions/fasal/wujob-e-zakat-ki-tafseel""><i class=""icon-docs-bold""></i> وجوب زکوٰۃ کی تفصیل</a></div></div></div>"
https://www.banuri.edu.pk/readquestion/روزہ-کتنی-عمر-میں-فرض-ہوتا-ہے-2/19-05-2018,روزہ کتنی عمر میں فرض ہوتا ہے؟,<p><p>روزہ کتنی عمرمیں  فرض ہو جاتا ہے؟</p><p> </p></p>,"<p><p>نماز اور روزہ دونوں بلوغت  کے بعد  فرض ہوجاتے ہیں۔بلوغت یہ ہےکہ لڑکے کو احتلام یا انزال ہوجائے اور لڑکی کو حیض آجائے یا وہ حاملہ ہوجائے،اگرپندرہ سال سے کم عمر میں  ان علامات میں سے کوئی علامت بھی ظاہر ہوجائے تو نماز ، روزہ فرض ہوجائیں گے، ورنہ  پندرہ سال کی عمر میں دونوں بالغ سمجھیں جائیں گے،اور نماز پڑھنا،روزے رکھنافرض ہوگا۔فقط واللہ اعلم</p></p><hr class=""big-hr""/>",19-05-2018,143908201126,banuri.edu.pk,روزہ,روزہ,روزہ - حقیقت و مصالح,"<div class=""col-md-12 sawal-jawab""><h3 class=""question_heading"">سوال</h3><p><p>روزہ کتنی عمرمیں  فرض ہو جاتا ہے؟</p><p> </p></p><h4 class=""question_heading"">جواب</h4><p><p>نماز اور روزہ دونوں بلوغت  کے بعد  فرض ہوجاتے ہیں۔بلوغت یہ ہےکہ لڑکے کو احتلام یا انزال ہوجائے اور لڑکی کو حیض آجائے یا وہ حاملہ ہوجائے،اگرپندرہ سال سے کم عمر میں  ان علامات میں سے کوئی علامت بھی ظاہر ہوجائے تو نماز ، روزہ فرض ہوجائیں گے، ورنہ  پندرہ سال کی عمر میں دونوں بالغ سمجھیں جائیں گے،اور نماز پڑھنا،روزے رکھنافرض ہوگا۔فقط واللہ اعلم</p></p><hr class=""big-hr""/><div class=""col-sm-6 col-md-6""><p class=""question_heading"" style=""color:#73161f"">فتویٰ نمبر : <a id=""fatwa_number"">143908201126</a></p></div><div class=""col-sm-6 col-md-6""><p style=""color:#73161f"">دارالافتاء :
                                جامعہ علوم اسلامیہ علامہ محمد یوسف بنوری ٹاؤن</p></div><hr class=""big-hr""/><div class=""col-sm-4 col-md-4""><div class=""tag""><a href=""https://www.banuri.edu.pk/questions/kitab/soum""><i class=""icon-docs-bold""></i> روزہ</a></div></div><div class=""col-sm-4 col-md-4""><div class=""tag""><a href=""https://www.banuri.edu.pk/questions/bab/roza""><i class=""icon-docs-bold""></i> روزہ</a></div></div><div class=""col-sm-4 col-md-4""><div class=""tag""><a href=""https://www.banuri.edu.pk/questions/fasal/roza-haqiqat-o-masaleh""><i class=""icon-docs-bold""></i> روزہ - حقیقت و مصالح</a></div></div></div>"
https://www.banuri.edu.pk/readquestion/بیوی-کا-اپنےنام-کے-ساتھ-شوہر-کا-نام-لکھنا-2/09-05-2018,بیوی کا اپنےنام کے ساتھ شوہر کا نام لکھنا,<p><p>کیا عورت اپنے نام کے ساتھ شوہر کا نام لکھ سکتی ہے ؟</p></p>,"<p><p>تعارف کی خاطر بیوی اپنے نام کے ساتھ شوہر کا نام لکھ سکتی ہے ، اس میں شرعاً   کوئی حرج نہیں ہے۔فقط واللہ اعلم</p></p><hr class=""big-hr""/>",09-05-2018,143908200706,banuri.edu.pk,حقوق و آدابِ معاشرت,حقوق,میاں ، بیوی کے حقوق,"<div class=""col-md-12 sawal-jawab""><h3 class=""question_heading"">سوال</h3><p><p>کیا عورت اپنے نام کے ساتھ شوہر کا نام لکھ سکتی ہے ؟</p></p><h4 class=""question_heading"">جواب</h4><p><p>تعارف کی خاطر بیوی اپنے نام کے ساتھ شوہر کا نام لکھ سکتی ہے ، اس میں شرعاً   کوئی حرج نہیں ہے۔فقط واللہ اعلم</p></p><hr class=""big-hr""/><div class=""col-sm-6 col-md-6""><p class=""question_heading"" style=""color:#73161f"">فتویٰ نمبر : <a id=""fatwa_number"">143908200706</a></p></div><div class=""col-sm-6 col-md-6""><p style=""color:#73161f"">دارالافتاء :
                                جامعہ علوم اسلامیہ علامہ محمد یوسف بنوری ٹاؤن</p></div><hr class=""big-hr""/><div class=""col-sm-4 col-md-4""><div class=""tag""><a href=""https://www.banuri.edu.pk/questions/kitab/huqooq-muashret""><i class=""icon-docs-bold""></i> حقوق و آدابِ معاشرت</a></div></div><div class=""col-sm-4 col-md-4""><div class=""tag""><a href=""https://www.banuri.edu.pk/questions/bab/bahmi-huqooq""><i class=""icon-docs-bold""></i> حقوق</a></div></div><div class=""col-sm-4 col-md-4""><div class=""tag""><a href=""https://www.banuri.edu.pk/questions/fasal/mian-biwi-k-huqooq""><i class=""icon-docs-bold""></i> میاں ، بیوی کے حقوق</a></div></div></div>"
https://www.banuri.edu.pk/readquestion/موبائل-فون-میں-بے-وضو-تلاوت-کرنا/10-05-2018,موبائل فون میں بے وضو تلاوت کرنا,<p><p>موبائل فون میں قرآن پاک کی تلاوت بغیر وضو کے  کرسکتے ہیں؟</p></p>,"<p><p>موبائل فون میں دیکھ کر بے وضو قرآن کریم کی تلاوت کرنا جائز ہے، اگر اسکرین پر قرآن کریم کھلا ہوا ہو تو بے وضو موبائل کو مختلف اطراف سے چھونا اور پکڑنا بھی جائز ہے، البتہ اسکرین کو بغیر وضو چھونا جائز نہیں ہے ؛ کیوں کہ جس وقت قرآن کریم اسکرین پر کھلا ہوا ہوتا ہے اس وقت اسکرین کو چھونا قرآن کو چھونے کے حکم میں ہوتا ہے۔فقط واللہ اعلم</p></p><hr class=""big-hr""/>",10-05-2018,143908200743,banuri.edu.pk,طہارت,وضو,وضو،فرائض،سنن،آداب اور وضو توڑنے والی اشیاء,"<div class=""col-md-12 sawal-jawab""><h3 class=""question_heading"">سوال</h3><p><p>موبائل فون میں قرآن پاک کی تلاوت بغیر وضو کے  کرسکتے ہیں؟</p></p><h4 class=""question_heading"">جواب</h4><p><p>موبائل فون میں دیکھ کر بے وضو قرآن کریم کی تلاوت کرنا جائز ہے، اگر اسکرین پر قرآن کریم کھلا ہوا ہو تو بے وضو موبائل کو مختلف اطراف سے چھونا اور پکڑنا بھی جائز ہے، البتہ اسکرین کو بغیر وضو چھونا جائز نہیں ہے ؛ کیوں کہ جس وقت قرآن کریم اسکرین پر کھلا ہوا ہوتا ہے اس وقت اسکرین کو چھونا قرآن کو چھونے کے حکم میں ہوتا ہے۔فقط واللہ اعلم</p></p><hr class=""big-hr""/><div class=""col-sm-6 col-md-6""><p class=""question_heading"" style=""color:#73161f"">فتویٰ نمبر : <a id=""fatwa_number"">143908200743</a></p></div><div class=""col-sm-6 col-md-6""><p style=""color:#73161f"">دارالافتاء :
                                جامعہ علوم اسلامیہ علامہ محمد یوسف بنوری ٹاؤن</p></div><hr class=""big-hr""/><div class=""col-sm-4 col-md-4""><div class=""tag""><a href=""https://www.banuri.edu.pk/questions/kitab/taharat""><i class=""icon-docs-bold""></i> طہارت</a></div></div><div class=""col-sm-4 col-md-4""><div class=""tag""><a href=""https://www.banuri.edu.pk/questions/bab/wuzu""><i class=""icon-docs-bold""></i> وضو</a></div></div><div class=""col-sm-4 col-md-4""><div class=""tag""><a href=""https://www.banuri.edu.pk/questions/fasal/wuzo-faraidh-sunan-aadab-or-wuzo-tornay-wali-ashya""><i class=""icon-docs-bold""></i> وضو،فرائض،سنن،آداب اور وضو توڑنے والی اشیاء</a></div></div></div>"
https://www.banuri.edu.pk/readquestion/مسجد-اور-گھر-کی-مشترکہ-دیوار-کے-پیچھے-سے-اقتدا-کا-حکم/07-05-2018,مسجد اور گھر کی مشترکہ دیوار کے پیچھے سے اقتدا کا حکم,<p><p>مسجد کی پچھلی دیوار ایک گھر کی دیوار کے ساتھ مشترکہ ہے، یعنی مسجد کی پچھلی اور گھر کی اگلی دیوار ایک ہی ہے. ایسی دیوار کے پیچھے گھر میں کھڑے ہو کر خاتونِ خانہ نماز باجماعت پڑھ سکتی ہے؟</p></p>,"<p><p style=""text-align:justify;"">مذکورہ صورت میں عورت اپنے گھر سے امام کی اقتدا کرے گی تو اقتدا صحیح نہیں ہوگی ؛ کیوں کہ درمیان میں دیوار ہونے کی وجہ سے دونوں جگہیں الگ الگ ہیں، جب کہ جماعت کی نماز میں اقتدا صحیح ہونے کےلیے امام اور مقتدی دونوں کی جگہ حقیقتاً یا حکماً متحد ہونا ضروری ہے،حقیقتاً  جگہ متحد ہونے کی مثال یہ ہے کہ امام اور مقتدی دونوں ایک ہی مسجد یا ایک ہی گھر میں کھڑے ہوں، اور حکماً  جگہ متحد ہونے کی مثال یہ ہے کہ امام اور مقتدی اگرچہ دو الگ الگ جگہوں میں کھڑے ہوں ،لیکن درمیان  میں فاصلہ (دوصفوں کے برابر) نہ ہو۔فقط واللہ اعلم</p></p><hr class=""big-hr""/>",07-05-2018,143908200569,banuri.edu.pk,نماز,نماز کی جماعت,جماعت / امامت,"<div class=""col-md-12 sawal-jawab""><h3 class=""question_heading"">سوال</h3><p><p>مسجد کی پچھلی دیوار ایک گھر کی دیوار کے ساتھ مشترکہ ہے، یعنی مسجد کی پچھلی اور گھر کی اگلی دیوار ایک ہی ہے. ایسی دیوار کے پیچھے گھر میں کھڑے ہو کر خاتونِ خانہ نماز باجماعت پڑھ سکتی ہے؟</p></p><h4 class=""question_heading"">جواب</h4><p><p style=""text-align:justify;"">مذکورہ صورت میں عورت اپنے گھر سے امام کی اقتدا کرے گی تو اقتدا صحیح نہیں ہوگی ؛ کیوں کہ درمیان میں دیوار ہونے کی وجہ سے دونوں جگہیں الگ الگ ہیں، جب کہ جماعت کی نماز میں اقتدا صحیح ہونے کےلیے امام اور مقتدی دونوں کی جگہ حقیقتاً یا حکماً متحد ہونا ضروری ہے،حقیقتاً  جگہ متحد ہونے کی مثال یہ ہے کہ امام اور مقتدی دونوں ایک ہی مسجد یا ایک ہی گھر میں کھڑے ہوں، اور حکماً  جگہ متحد ہونے کی مثال یہ ہے کہ امام اور مقتدی اگرچہ دو الگ الگ جگہوں میں کھڑے ہوں ،لیکن درمیان  میں فاصلہ (دوصفوں کے برابر) نہ ہو۔فقط واللہ اعلم</p></p><hr class=""big-hr""/><div class=""col-sm-6 col-md-6""><p class=""question_heading"" style=""color:#73161f"">فتویٰ نمبر : <a id=""fatwa_number"">143908200569</a></p></div><div class=""col-sm-6 col-md-6""><p style=""color:#73161f"">دارالافتاء :
                                جامعہ علوم اسلامیہ علامہ محمد یوسف بنوری ٹاؤن</p></div><hr class=""big-hr""/><div class=""col-sm-4 col-md-4""><div class=""tag""><a href=""https://www.banuri.edu.pk/questions/kitab/salat""><i class=""icon-docs-bold""></i> نماز</a></div></div><div class=""col-sm-4 col-md-4""><div class=""tag""><a href=""https://www.banuri.edu.pk/questions/bab/namaz-ki-jamat""><i class=""icon-docs-bold""></i> نماز کی جماعت</a></div></div><div class=""col-sm-4 col-md-4""><div class=""tag""><a href=""https://www.banuri.edu.pk/questions/fasal/jamat-imamat""><i class=""icon-docs-bold""></i> جماعت / امامت</a></div></div></div>"
https://www.banuri.edu.pk/readquestion/نامحرم-عورت-کسی-نامحرم-مرد-کے-کپڑے-استری-کرسکتی-ہے-2/06-05-2018,نامحرم عورت کسی نامحرم مرد کے کپڑے استری کرسکتی ہے؟,<p><p> کیا کوئی نامحرم عورت کسی نامحرم مرد کے کپڑے استری کرسکتی ہے یا نہیں ؟</p></p>,"<p><p>نا محرم عورت  نا محرم مرد کے کپڑے  استری کرسکتی ہے، بشرطیکہ کسی اور مفسدہ میں پڑنے کا اندیشہ نہ ہو۔ فقط واللہ اعلم</p></p><hr class=""big-hr""/>",06-05-2018,143908200433,banuri.edu.pk,متفرق کتب,متفرق ابواب,متفرق فصول,"<div class=""col-md-12 sawal-jawab""><h3 class=""question_heading"">سوال</h3><p><p> کیا کوئی نامحرم عورت کسی نامحرم مرد کے کپڑے استری کرسکتی ہے یا نہیں ؟</p></p><h4 class=""question_heading"">جواب</h4><p><p>نا محرم عورت  نا محرم مرد کے کپڑے  استری کرسکتی ہے، بشرطیکہ کسی اور مفسدہ میں پڑنے کا اندیشہ نہ ہو۔ فقط واللہ اعلم</p></p><hr class=""big-hr""/><div class=""col-sm-6 col-md-6""><p class=""question_heading"" style=""color:#73161f"">فتویٰ نمبر : <a id=""fatwa_number"">143908200433</a></p></div><div class=""col-sm-6 col-md-6""><p style=""color:#73161f"">دارالافتاء :
                                جامعہ علوم اسلامیہ علامہ محمد یوسف بنوری ٹاؤن</p></div><hr class=""big-hr""/><div class=""col-sm-4 col-md-4""><div class=""tag""><a href=""https://www.banuri.edu.pk/questions/kitab/mutafarriq-kutub""><i class=""icon-docs-bold""></i> متفرق کتب</a></div></div><div class=""col-sm-4 col-md-4""><div class=""tag""><a href=""https://www.banuri.edu.pk/questions/bab/mutafarriq-abwab""><i class=""icon-docs-bold""></i> متفرق ابواب</a></div></div><div class=""col-sm-4 col-md-4""><div class=""tag""><a href=""https://www.banuri.edu.pk/questions/fasal/mutafarriq-fusool""><i class=""icon-docs-bold""></i> متفرق فصول</a></div></div></div>"
https://www.banuri.edu.pk/readquestion/آزاد-کے-لفظ-سے-طلاق-دینے-کا-حکم-2/08-05-2018,آزاد کے لفظ سے طلاق دینے کا حکم,<p><p>اگر کوئی شخص اپنی بیوی سے کہے کہ'' تو آزاد ہے'' اور طلاق کی نیت نہ ہو تو کیا طلاق واقع ہو جاۓ گی؟</p></p>,"<p><p><strong>طلاق واقع ہوجائے گی کیونکہ صریح ہے اوراس کاتلفظ ہی طلاق کی نیت ہے۔فقط واللہ اعلم</strong></p></p><hr class=""big-hr""/>",08-05-2018,143908200674,banuri.edu.pk,طلاق,وقوع طلاق وعدم وقوع طلاق,طلاق صریح اور کنائی,"<div class=""col-md-12 sawal-jawab""><h3 class=""question_heading"">سوال</h3><p><p>اگر کوئی شخص اپنی بیوی سے کہے کہ'' تو آزاد ہے'' اور طلاق کی نیت نہ ہو تو کیا طلاق واقع ہو جاۓ گی؟</p></p><h4 class=""question_heading"">جواب</h4><p><p><strong>طلاق واقع ہوجائے گی کیونکہ صریح ہے اوراس کاتلفظ ہی طلاق کی نیت ہے۔فقط واللہ اعلم</strong></p></p><hr class=""big-hr""/><div class=""col-sm-6 col-md-6""><p class=""question_heading"" style=""color:#73161f"">فتویٰ نمبر : <a id=""fatwa_number"">143908200674</a></p></div><div class=""col-sm-6 col-md-6""><p style=""color:#73161f"">دارالافتاء :
                                جامعہ علوم اسلامیہ علامہ محمد یوسف بنوری ٹاؤن</p></div><hr class=""big-hr""/><div class=""col-sm-4 col-md-4""><div class=""tag""><a href=""https://www.banuri.edu.pk/questions/kitab/talaaq""><i class=""icon-docs-bold""></i> طلاق</a></div></div><div class=""col-sm-4 col-md-4""><div class=""tag""><a href=""https://www.banuri.edu.pk/questions/bab/wuqoo-e-talaq-o-adme-wuqoo-e-talaq""><i class=""icon-docs-bold""></i> وقوع طلاق وعدم وقوع طلاق</a></div></div><div class=""col-sm-4 col-md-4""><div class=""tag""><a href=""https://www.banuri.edu.pk/questions/fasal/talaq-e-sarih-or-kinai""><i class=""icon-docs-bold""></i> طلاق صریح اور کنائی</a></div></div></div>"
https://www.banuri.edu.pk/readquestion/جماعت-سے-نماز-ادا-کرنے-کے-لیے-باوقار-انداز-سے-جانا-چاہیے/20-04-2018,جماعت سے نماز ادا کرنے کے لیے باوقار انداز سے جانا چاہیے,<p><p>جماعت کے ساتھ نماز نہ رہ جائے تیز تیز چل کرمسجد جانا ، وضو جلدی میں کرنا ٹھیک ہے ؟</p></p>,"<p><p>نماز کے لیے باوقار انداز میں خوب اہتمام کے ساتھ گھر سے باوضو ہو کے جانا چاہیے، تاہم اگر کسی وقت  جماعت کے نکلنے کے خوف سے سرعت کے ساتھ وضو  کرکے تیز قدموں کے ساتھ <strong>دوڑے بغیر</strong> جایا جائے تو اس میں حرج نہیں ، البتہ اس عمل کو معمول نہیں بنانا چاہیے۔</p><p>حضرت ابو بکرہ رضی اللہ عنہ سے منقول ہے کہ وہ(ایک مرتبہ  نماز میں شامل ہونے کے لیے)  نبی اکرم صلی اللہ علیہ وسلم کے پاس اس وقت پہنچے جب کہ آپ صلی اللہ علیہ وسلم رکوع میں تھے وہ (اس بات کے پیش نظر کہ رکوع نہ رہ جائے نیت اور تکبیر تحریمہ کے بعد) صف میں پہنچنے سے پہلے ہی رکوع میں چلے گئے  پھر آہستہ آہستہ چل کر صف میں شامل ہو گئے۔ پھر نبی کریم صلی اللہ علیہ وسلم سے اس واقعہ کا  ذکر کیا تو رسول اکرم صلی اللہ علیہ وسلم نے ان سے فرمایا کہ: اللہ تعالی (اطاعت اور نیک کام کے بارے میں) تمہاری حرص اور زیادہ کرے ،لیکن آئندہ ایسا نہ کرنا۔(البخاری) </p><p><span class=""ar_writing"">'' عن ابي بكرة انه انتهي الي النبي صلي الله عليه وسلم وهو راكع فركع قبل أن يصل إلي الصف ثم مشي إلي الصف، فذكر ذلك إلي النبي صلي الله عليه وسلم، فقال : «زادك الله حرصاً و لا تعد». رواه البخاري''.( مشكاة المصابيح، باب الموقف، الفصل الاول، ص ٩٩)</span>فقط واللہ اعلم</p></p><hr class=""big-hr""/>",20-04-2018,143908200009,banuri.edu.pk,نماز,نماز کی شرائط,نماز اور اس کی شرائط و ارکان ، سنن و آداب,"<div class=""col-md-12 sawal-jawab""><h3 class=""question_heading"">سوال</h3><p><p>جماعت کے ساتھ نماز نہ رہ جائے تیز تیز چل کرمسجد جانا ، وضو جلدی میں کرنا ٹھیک ہے ؟</p></p><h4 class=""question_heading"">جواب</h4><p><p>نماز کے لیے باوقار انداز میں خوب اہتمام کے ساتھ گھر سے باوضو ہو کے جانا چاہیے، تاہم اگر کسی وقت  جماعت کے نکلنے کے خوف سے سرعت کے ساتھ وضو  کرکے تیز قدموں کے ساتھ <strong>دوڑے بغیر</strong> جایا جائے تو اس میں حرج نہیں ، البتہ اس عمل کو معمول نہیں بنانا چاہیے۔</p><p>حضرت ابو بکرہ رضی اللہ عنہ سے منقول ہے کہ وہ(ایک مرتبہ  نماز میں شامل ہونے کے لیے)  نبی اکرم صلی اللہ علیہ وسلم کے پاس اس وقت پہنچے جب کہ آپ صلی اللہ علیہ وسلم رکوع میں تھے وہ (اس بات کے پیش نظر کہ رکوع نہ رہ جائے نیت اور تکبیر تحریمہ کے بعد) صف میں پہنچنے سے پہلے ہی رکوع میں چلے گئے  پھر آہستہ آہستہ چل کر صف میں شامل ہو گئے۔ پھر نبی کریم صلی اللہ علیہ وسلم سے اس واقعہ کا  ذکر کیا تو رسول اکرم صلی اللہ علیہ وسلم نے ان سے فرمایا کہ: اللہ تعالی (اطاعت اور نیک کام کے بارے میں) تمہاری حرص اور زیادہ کرے ،لیکن آئندہ ایسا نہ کرنا۔(البخاری) </p><p><span class=""ar_writing"">'' عن ابي بكرة انه انتهي الي النبي صلي الله عليه وسلم وهو راكع فركع قبل أن يصل إلي الصف ثم مشي إلي الصف، فذكر ذلك إلي النبي صلي الله عليه وسلم، فقال : «زادك الله حرصاً و لا تعد». رواه البخاري''.( مشكاة المصابيح، باب الموقف، الفصل الاول، ص ٩٩)</span>فقط واللہ اعلم</p></p><hr class=""big-hr""/><div class=""col-sm-6 col-md-6""><p class=""question_heading"" style=""color:#73161f"">فتویٰ نمبر : <a id=""fatwa_number"">143908200009</a></p></div><div class=""col-sm-6 col-md-6""><p style=""color:#73161f"">دارالافتاء :
                                جامعہ علوم اسلامیہ علامہ محمد یوسف بنوری ٹاؤن</p></div><hr class=""big-hr""/><div class=""col-sm-4 col-md-4""><div class=""tag""><a href=""https://www.banuri.edu.pk/questions/kitab/salat""><i class=""icon-docs-bold""></i> نماز</a></div></div><div class=""col-sm-4 col-md-4""><div class=""tag""><a href=""https://www.banuri.edu.pk/questions/bab/namaz-ki-sharait""><i class=""icon-docs-bold""></i> نماز کی شرائط</a></div></div><div class=""col-sm-4 col-md-4""><div class=""tag""><a href=""https://www.banuri.edu.pk/questions/fasal/namaz-or-us-ki-sharait-o-arkaan-sunan-o-aadab""><i class=""icon-docs-bold""></i> نماز اور اس کی شرائط و ارکان ، سنن و آداب</a></div></div></div>"
https://www.banuri.edu.pk/readquestion/نماز-کے-وقت-کی-تنگی-کی-صورت-میں-کیا-کرے-2/27-10-2017,نماز کے وقت کی تنگی کی صورت میں کیا کرے؟,<p><p>اگر کپڑوں پر ایسے وقت میں نجاست لگ جائے کہ اگر کپڑوں کو پاک کرے تونماز کا وقت جاتا رہےگا،  یعنی وقت کی تنگی ہوتو ایسے حالات میں کیا کرنا ہوگا؟ وضو کریں گے یا تیمم؟</p></p>,"<p><p>مذکورہ صورت میں اگر وقت میں ایسی تنگی ہو کہ کپڑے پاک کرنے اور وضو کرنے میں وقت نکلنے کا اندیشہ ہو تو   محتاط قول کے مطابق کپڑے پاک کرے اور تیمم کرکے نماز پڑھ لے، اور پھر وضو کرکے اس نماز کا اعادہ کرے۔ فقط واللہ اعلم</p></p><hr class=""big-hr""/>",27-10-2017,143902200019,banuri.edu.pk,طہارت,شرعی معذورین کے احکام,معذورین کے احکام,"<div class=""col-md-12 sawal-jawab""><h3 class=""question_heading"">سوال</h3><p><p>اگر کپڑوں پر ایسے وقت میں نجاست لگ جائے کہ اگر کپڑوں کو پاک کرے تونماز کا وقت جاتا رہےگا،  یعنی وقت کی تنگی ہوتو ایسے حالات میں کیا کرنا ہوگا؟ وضو کریں گے یا تیمم؟</p></p><h4 class=""question_heading"">جواب</h4><p><p>مذکورہ صورت میں اگر وقت میں ایسی تنگی ہو کہ کپڑے پاک کرنے اور وضو کرنے میں وقت نکلنے کا اندیشہ ہو تو   محتاط قول کے مطابق کپڑے پاک کرے اور تیمم کرکے نماز پڑھ لے، اور پھر وضو کرکے اس نماز کا اعادہ کرے۔ فقط واللہ اعلم</p></p><hr class=""big-hr""/><div class=""col-sm-6 col-md-6""><p class=""question_heading"" style=""color:#73161f"">فتویٰ نمبر : <a id=""fatwa_number"">143902200019</a></p></div><div class=""col-sm-6 col-md-6""><p style=""color:#73161f"">دارالافتاء :
                                جامعہ علوم اسلامیہ علامہ محمد یوسف بنوری ٹاؤن</p></div><hr class=""big-hr""/><div class=""col-sm-4 col-md-4""><div class=""tag""><a href=""https://www.banuri.edu.pk/questions/kitab/taharat""><i class=""icon-docs-bold""></i> طہارت</a></div></div><div class=""col-sm-4 col-md-4""><div class=""tag""><a href=""https://www.banuri.edu.pk/questions/bab/sharee-mazoreen-k-ahkam""><i class=""icon-docs-bold""></i> شرعی معذورین کے احکام</a></div></div><div class=""col-sm-4 col-md-4""><div class=""tag""><a href=""https://www.banuri.edu.pk/questions/fasal/ma-zoron-k-ahkam""><i class=""icon-docs-bold""></i> معذورین کے احکام</a></div></div></div>"
